 <DEC, > 
 <TipoVarENT, > 
 <ID, 0> 
 <PuntoComa, > 
 <DEC, > 
 <TipoVarENT, > 
 <ID, 1> 
 <PuntoComa, > 
 <ID, 0> 
 <ASIG, > 
 <ENT, 3> 
 <PuntoComa, > 
 <ID, 1> 
 <ASIG, > 
 <ID, 0> 
 <PuntoComa, > 
 <IF, > 
 <ParentesisAbrir, > 
 <ID, 0> 
 <MENOR, > 
 <ID, 1> 
 <ParentesisCerrar, > 
 <ID, 1> 
 <ASIG, > 
 <ENT, 1> 
 <PuntoComa, > 
 <IF, > 
 <ParentesisAbrir, > 
 <ID, 1> 
 <MENOR, > 
 <ID, 0> 
 <ParentesisCerrar, > 
 <ID, 1> 
 <ASIG, > 
 <ENT, 8> 
 <PuntoComa, > 
 <ID, 0> 
 <ASIG, > 
 <ID, 0> 
 <SUMA, > 
 <ID, 1> 
 <PuntoComa, > 
 <Print, > 
 <ParentesisAbrir, > 
 <ID, 0> 
 <ParentesisCerrar, > 
 <PuntoComa, > 
 <Print, > 
 <ParentesisAbrir, > 
 <ID, 1> 
 <ParentesisCerrar, > 
 <PuntoComa, > 
